Name,Feed URL,Podcast ID
Accidental Tech Podcast,https://atp.fm/rss,01H0PZ3C2REHBVMTJ6B6FJ4BG8
Analog(ue),https://www.relay.fm/analogue/feed,01H0Q1MDX2WSNRHYJYM2XWVGF1
Automators,https://www.relay.fm/automators/feed,01H0Q1VVP8MR7SR79KQ3VFRGG9
Liftoff,https://www.relay.fm/liftoff/feed,01H13ZA6C00YRTP6K3JB54J5HZ
Mixed Feelings,https://www.relay.fm/mixedfeelings/feed,01H1400HHQ0NAAD9PM5C1XVXH8
Playing for Fun,https://www.relay.fm/playingforfun/feed,01H13ZZ36TYCDZA8TJTWHZ29NA
Presentable,https://www.relay.fm/presentable/feed,01H13ZX2Y133RW5XE1J8ZVXCGK
Query,https://www.relay.fm/query/feed,01H13ZQN98E0GDZWM8JMM4F1XT
Serial,https://feeds.simplecast.com/xl36XBC2,01H0PYZBNTY5F6P6ABPBK584C6
Subnet,https://www.relay.fm/subnet/feed,01H13ZK5FMYZZMGKMGYA7VK1Z0
The Prompt,https://www.relay.fm/prompt/feed,01H13ZHSFTMBB4JNTC20DDYPEQ
The Test Drivers,https://www.relay.fm/testdrivers/feed,01H13ZDS876HY4AG2MYMW712WV
The Vergecast,https://feeds.megaphone.fm/vergecast,01H0PZBHNF1H3DS5JNE6KX9Z39
This American Life,https://www.thisamericanlife.org/podcast/rss.xml,01H0PYGZZ8221DA35M4EW75SG4
Virtual,https://www.relay.fm/virtual/feed,01H13ZBTXWV62NX7CZTY8ZMK5N
Waveform: The MKBHD Podcast,https://feeds.megaphone.fm/STU4418364045,01H0Q0GZ7FKVMAJH1SX8GHM65G